ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
DeSantis,7/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,33
Trump,7/25/2024 12:00:00 AM,$0.57,$0.58,$0.56,$0.56,45668
Biden,7/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,7886
Harris,7/25/2024 12:00:00 AM,$0.45,$0.46,$0.43,$0.46,64431
Buttigieg,7/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,785
Newsom,7/25/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,24556
Ramaswamy,7/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,7/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,7/25/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,6540
Haley,7/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,898
DeSantis,7/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4528
Trump,7/26/2024 12:00:00 AM,$0.56,$0.57,$0.53,$0.53,53484
Biden,7/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,39894
Harris,7/26/2024 12:00:00 AM,$0.46,$0.50,$0.45,$0.50,70523
Buttigieg,7/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,7578
Newsom,7/26/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,6362
Ramaswamy,7/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,841
Scott,7/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1091
RFK Jr.,7/26/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,16315
Haley,7/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,8991
DeSantis,7/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5
Trump,7/27/2024 12:00:00 AM,$0.53,$0.54,$0.52,$0.54,42377
Biden,7/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5956
Harris,7/27/2024 12:00:00 AM,$0.50,$0.50,$0.48,$0.48,62155
Buttigieg,7/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1001
Newsom,7/27/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,7609
Ramaswamy,7/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4
Scott,7/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,7/27/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,1096
Haley,7/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,845
DeSantis,7/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,634
Trump,7/28/2024 12:00:00 AM,$0.54,$0.54,$0.52,$0.54,41008
Biden,7/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,717
Harris,7/28/2024 12:00:00 AM,$0.48,$0.50,$0.48,$0.49,41447
Buttigieg,7/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,35002
Newsom,7/28/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,2514
Ramaswamy,7/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,7/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,7/28/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,959
Haley,7/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,555
DeSantis,7/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,558
Trump,7/29/2024 12:00:00 AM,$0.54,$0.54,$0.53,$0.53,38274
Biden,7/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5773
Harris,7/29/2024 12:00:00 AM,$0.49,$0.50,$0.49,$0.49,40945
Buttigieg,7/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1600
Newsom,7/29/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,40207
Ramaswamy,7/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,7/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,7/29/2024 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,2681
Haley,7/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,951
DeSantis,7/30/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,563
Trump,7/30/2024 12:00:00 AM,$0.53,$0.54,$0.52,$0.53,58262
Biden,7/30/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2265
Harris,7/30/2024 12:00:00 AM,$0.49,$0.50,$0.47,$0.49,51452
Buttigieg,7/30/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,8500
Newsom,7/30/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,5504
Ramaswamy,7/30/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,7/30/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,7/30/2024 12:00:00 AM,$0.02,$0.03,$0.01,$0.02,36448
Haley,7/30/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
DeSantis,7/31/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,85
Trump,7/31/2024 12:00:00 AM,$0.53,$0.53,$0.49,$0.49,102649
Biden,7/31/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,6628
Harris,7/31/2024 12:00:00 AM,$0.49,$0.53,$0.48,$0.53,113351
Buttigieg,7/31/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1716
Newsom,7/31/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,8259
Ramaswamy,7/31/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,7/31/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,7/31/2024 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,8970
Haley,7/31/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,7483
DeSantis,8/1/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2108
Trump,8/1/2024 12:00:00 AM,$0.49,$0.50,$0.49,$0.49,82393
Biden,8/1/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5817
Harris,8/1/2024 12:00:00 AM,$0.53,$0.55,$0.51,$0.54,90384
Buttigieg,8/1/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,9
Newsom,8/1/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,9628
Ramaswamy,8/1/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,881
Scott,8/1/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,858
RFK Jr.,8/1/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3620
Haley,8/1/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,8414
DeSantis,8/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,203
Trump,8/2/2024 12:00:00 AM,$0.49,$0.50,$0.49,$0.49,54238
Biden,8/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1291
Harris,8/2/2024 12:00:00 AM,$0.54,$0.55,$0.53,$0.53,67594
Buttigieg,8/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,655
Newsom,8/2/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,9514
Ramaswamy,8/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,43
RFK Jr.,8/2/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,9761
Haley,8/2/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,199415
DeSantis,8/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
Trump,8/3/2024 12:00:00 AM,$0.49,$0.51,$0.49,$0.50,35336
Biden,8/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2301
Harris,8/3/2024 12:00:00 AM,$0.53,$0.54,$0.53,$0.53,36346
Buttigieg,8/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2500
Newsom,8/3/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,10947
Ramaswamy,8/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,101
Scott,8/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
RFK Jr.,8/3/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,7597
Haley,8/3/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,11360
DeSantis,8/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,8/4/2024 12:00:00 AM,$0.50,$0.51,$0.49,$0.49,31551
Biden,8/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2799
Harris,8/4/2024 12:00:00 AM,$0.53,$0.54,$0.52,$0.53,20738
Buttigieg,8/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/4/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3620
Ramaswamy,8/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/4/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,15606
Haley,8/4/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,10653
DeSantis,8/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1075
Trump,8/5/2024 12:00:00 AM,$0.49,$0.52,$0.49,$0.51,66278
Biden,8/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5908
Harris,8/5/2024 12:00:00 AM,$0.53,$0.53,$0.50,$0.53,76629
Buttigieg,8/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,391
Newsom,8/5/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,5046
Ramaswamy,8/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/5/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,8208
Haley,8/5/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,106354
DeSantis,8/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,79
Trump,8/6/2024 12:00:00 AM,$0.51,$0.52,$0.47,$0.48,101650
Biden,8/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2149
Harris,8/6/2024 12:00:00 AM,$0.53,$0.55,$0.52,$0.55,132186
Buttigieg,8/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,125
Newsom,8/6/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,7911
Ramaswamy,8/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,50
Scott,8/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
RFK Jr.,8/6/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,14237
Haley,8/6/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,16983
DeSantis,8/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3184
Trump,8/7/2024 12:00:00 AM,$0.48,$0.49,$0.46,$0.47,105749
Biden,8/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,6987
Harris,8/7/2024 12:00:00 AM,$0.55,$0.57,$0.54,$0.56,127918
Buttigieg,8/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,318
Newsom,8/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,24997
Ramaswamy,8/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,310
Scott,8/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,281
RFK Jr.,8/7/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,11866
Haley,8/7/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,27743
DeSantis,8/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,8002
Trump,8/8/2024 12:00:00 AM,$0.47,$0.48,$0.45,$0.46,86550
Biden,8/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,73109
Harris,8/8/2024 12:00:00 AM,$0.56,$0.57,$0.55,$0.57,92921
Buttigieg,8/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,8
Newsom,8/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,21050
Ramaswamy,8/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,402
Scott,8/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,101
RFK Jr.,8/8/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,42363
Haley,8/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,9266
DeSantis,8/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,714
Trump,8/9/2024 12:00:00 AM,$0.46,$0.47,$0.45,$0.46,45812
Biden,8/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1888
Harris,8/9/2024 12:00:00 AM,$0.57,$0.58,$0.56,$0.57,44533
Buttigieg,8/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Newsom,8/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,42
Ramaswamy,8/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,200
Scott,8/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,200
RFK Jr.,8/9/2024 12:00:00 AM,$0.02,$0.03,$0.01,$0.03,45544
Haley,8/9/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,18872
DeSantis,8/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5000
Trump,8/10/2024 12:00:00 AM,$0.46,$0.47,$0.44,$0.44,57008
Biden,8/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1788
Harris,8/10/2024 12:00:00 AM,$0.57,$0.59,$0.56,$0.57,58848
Buttigieg,8/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,50
Newsom,8/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,633
Ramaswamy,8/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/10/2024 12:00:00 AM,$0.03,$0.03,$0.01,$0.02,9540
Haley,8/10/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,9145
DeSantis,8/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,8/11/2024 12:00:00 AM,$0.44,$0.45,$0.43,$0.44,43430
Biden,8/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,696
Harris,8/11/2024 12:00:00 AM,$0.57,$0.60,$0.57,$0.59,47641
Buttigieg,8/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3
Ramaswamy,8/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/11/2024 12:00:00 AM,$0.02,$0.03,$0.01,$0.02,3775
Haley,8/11/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,5799
DeSantis,8/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,8/12/2024 12:00:00 AM,$0.44,$0.45,$0.43,$0.43,50993
Biden,8/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1310
Harris,8/12/2024 12:00:00 AM,$0.59,$0.60,$0.58,$0.59,43532
Buttigieg,8/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,167
Ramaswamy,8/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/12/2024 12:00:00 AM,$0.02,$0.03,$0.01,$0.02,4605
Haley,8/12/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2276
DeSantis,8/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4575
Trump,8/13/2024 12:00:00 AM,$0.43,$0.45,$0.43,$0.45,40970
Biden,8/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3651
Harris,8/13/2024 12:00:00 AM,$0.59,$0.60,$0.58,$0.58,39095
Buttigieg,8/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,150
Newsom,8/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1218
Ramaswamy,8/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,250
Scott,8/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/13/2024 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,2401
Haley,8/13/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,18726
DeSantis,8/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,8/14/2024 12:00:00 AM,$0.45,$0.45,$0.44,$0.45,35416
Biden,8/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,450
Harris,8/14/2024 12:00:00 AM,$0.58,$0.59,$0.57,$0.57,35271
Buttigieg,8/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,6
Ramaswamy,8/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/14/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,681
Haley,8/14/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,27318
DeSantis,8/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
Trump,8/15/2024 12:00:00 AM,$0.45,$0.46,$0.44,$0.46,50427
Biden,8/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1740
Harris,8/15/2024 12:00:00 AM,$0.57,$0.58,$0.57,$0.57,19861
Buttigieg,8/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,50
Newsom,8/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,11
Ramaswamy,8/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/15/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,10405
Haley,8/15/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,9243
DeSantis,8/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,200
Trump,8/16/2024 12:00:00 AM,$0.46,$0.46,$0.44,$0.46,39425
Biden,8/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4065
Harris,8/16/2024 12:00:00 AM,$0.57,$0.58,$0.57,$0.57,26726
Buttigieg,8/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1628
Ramaswamy,8/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
Scott,8/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,600
RFK Jr.,8/16/2024 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,1035
Haley,8/16/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,4486
DeSantis,8/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,8/17/2024 12:00:00 AM,$0.46,$0.46,$0.44,$0.46,28359
Biden,8/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,22
Harris,8/17/2024 12:00:00 AM,$0.57,$0.58,$0.57,$0.57,23553
Buttigieg,8/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ramaswamy,8/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/17/2024 12:00:00 AM,$0.01,$0.03,$0.01,$0.02,4827
Haley,8/17/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,18835
DeSantis,8/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,8/18/2024 12:00:00 AM,$0.46,$0.46,$0.44,$0.46,27541
Biden,8/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,200
Harris,8/18/2024 12:00:00 AM,$0.57,$0.58,$0.56,$0.56,111337
Buttigieg,8/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,841
Ramaswamy,8/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/18/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,158
Haley,8/18/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,1276
DeSantis,8/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,8/19/2024 12:00:00 AM,$0.46,$0.46,$0.45,$0.46,27403
Biden,8/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1729
Harris,8/19/2024 12:00:00 AM,$0.56,$0.58,$0.56,$0.56,45970
Buttigieg,8/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,9999
Newsom,8/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2112
Ramaswamy,8/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/19/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,8167
Haley,8/19/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3394
DeSantis,8/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,20000
Trump,8/20/2024 12:00:00 AM,$0.46,$0.48,$0.45,$0.48,64958
Biden,8/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1746
Harris,8/20/2024 12:00:00 AM,$0.56,$0.57,$0.56,$0.56,42502
Buttigieg,8/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ramaswamy,8/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/20/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,60420
Haley,8/20/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,22637
DeSantis,8/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,8/21/2024 12:00:00 AM,$0.48,$0.51,$0.46,$0.50,84732
Biden,8/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1593
Harris,8/21/2024 12:00:00 AM,$0.56,$0.57,$0.53,$0.53,85427
Buttigieg,8/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,291
Ramaswamy,8/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/21/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,60338
Haley,8/21/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,5556
DeSantis,8/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,913
Trump,8/22/2024 12:00:00 AM,$0.50,$0.50,$0.48,$0.49,51657
Biden,8/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1916
Harris,8/22/2024 12:00:00 AM,$0.53,$0.54,$0.52,$0.53,56539
Buttigieg,8/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ramaswamy,8/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,885
Scott,8/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
RFK Jr.,8/22/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,61303
Haley,8/22/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,3160
DeSantis,8/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,18961
Trump,8/23/2024 12:00:00 AM,$0.49,$0.49,$0.47,$0.49,61893
Biden,8/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,227
Harris,8/23/2024 12:00:00 AM,$0.53,$0.56,$0.53,$0.55,53954
Buttigieg,8/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1004
Newsom,8/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,922
Ramaswamy,8/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,914
