ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Scott,8/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2603
Haley,8/23/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,13697
DeSantis,8/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,300
Trump,8/24/2024 12:00:00 AM,$0.49,$0.49,$0.48,$0.49,18831
Biden,8/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,550
Harris,8/24/2024 12:00:00 AM,$0.55,$0.55,$0.54,$0.54,15783
Buttigieg,8/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ramaswamy,8/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/24/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1200
Haley,8/24/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,38392
DeSantis,8/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,868
Trump,8/25/2024 12:00:00 AM,$0.49,$0.49,$0.48,$0.48,27158
Biden,8/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3167
Harris,8/25/2024 12:00:00 AM,$0.54,$0.56,$0.54,$0.56,29665
Buttigieg,8/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,858
Newsom,8/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,41693
Ramaswamy,8/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,858
RFK Jr.,8/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4538
Haley,8/25/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,3582
DeSantis,8/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1000
Trump,8/26/2024 12:00:00 AM,$0.48,$0.49,$0.47,$0.47,19796
Biden,8/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,172
Harris,8/26/2024 12:00:00 AM,$0.56,$0.56,$0.55,$0.55,25636
Buttigieg,8/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,30876
Ramaswamy,8/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,10911
Haley,8/26/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3348
DeSantis,8/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5416
Trump,8/27/2024 12:00:00 AM,$0.47,$0.48,$0.47,$0.47,22846
Biden,8/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,403
Harris,8/27/2024 12:00:00 AM,$0.55,$0.56,$0.55,$0.56,20291
Buttigieg,8/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25873
Ramaswamy,8/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,6867
Haley,8/27/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,969
DeSantis,8/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,50
Trump,8/28/2024 12:00:00 AM,$0.47,$0.48,$0.47,$0.48,19171
Biden,8/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,434
Harris,8/28/2024 12:00:00 AM,$0.56,$0.56,$0.54,$0.55,16372
Buttigieg,8/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
Ramaswamy,8/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Haley,8/28/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,1473
DeSantis,8/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,40
Trump,8/29/2024 12:00:00 AM,$0.48,$0.49,$0.47,$0.49,35266
Biden,8/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1153
Harris,8/29/2024 12:00:00 AM,$0.55,$0.56,$0.54,$0.54,23890
Buttigieg,8/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4
Ramaswamy,8/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
Haley,8/29/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,599
DeSantis,8/30/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
Trump,8/30/2024 12:00:00 AM,$0.49,$0.49,$0.47,$0.49,16198
Biden,8/30/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1103
Harris,8/30/2024 12:00:00 AM,$0.54,$0.55,$0.54,$0.55,18912
Buttigieg,8/30/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/30/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,38100
Ramaswamy,8/30/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/30/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/30/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Haley,8/30/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,856
DeSantis,8/31/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,8/31/2024 12:00:00 AM,$0.49,$0.49,$0.47,$0.49,12770
Biden,8/31/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,8/31/2024 12:00:00 AM,$0.55,$0.56,$0.54,$0.55,10594
Buttigieg,8/31/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,8/31/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,37232
Ramaswamy,8/31/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,8/31/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,8/31/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,8/31/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,5649
DeSantis,9/1/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,9/1/2024 12:00:00 AM,$0.49,$0.49,$0.47,$0.48,13403
Biden,9/1/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,9/1/2024 12:00:00 AM,$0.55,$0.56,$0.54,$0.55,15942
Buttigieg,9/1/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,9/1/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,461
Ramaswamy,9/1/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/1/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/1/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,9/1/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,641
DeSantis,9/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,9/2/2024 12:00:00 AM,$0.48,$0.49,$0.47,$0.48,12171
Biden,9/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,87
Harris,9/2/2024 12:00:00 AM,$0.55,$0.56,$0.54,$0.54,14946
Buttigieg,9/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,9/2/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,4330
Ramaswamy,9/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,26
Haley,9/2/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,22818
DeSantis,9/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Trump,9/3/2024 12:00:00 AM,$0.48,$0.49,$0.48,$0.48,15583
Biden,9/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,151
Harris,9/3/2024 12:00:00 AM,$0.54,$0.56,$0.54,$0.55,16413
Buttigieg,9/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,9/3/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,870
Ramaswamy,9/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,151
Haley,9/3/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,128
DeSantis,9/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,9/4/2024 12:00:00 AM,$0.48,$0.49,$0.48,$0.49,19765
Biden,9/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,9/4/2024 12:00:00 AM,$0.55,$0.55,$0.53,$0.53,18777
Buttigieg,9/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,9/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,12843
Ramaswamy,9/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4700
Haley,9/4/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1027
DeSantis,9/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,9/5/2024 12:00:00 AM,$0.49,$0.50,$0.48,$0.50,26729
Biden,9/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,554
Harris,9/5/2024 12:00:00 AM,$0.53,$0.55,$0.53,$0.53,25032
Buttigieg,9/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,9/5/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3062
Ramaswamy,9/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,9/5/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,6783
DeSantis,9/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,9/6/2024 12:00:00 AM,$0.50,$0.50,$0.49,$0.50,12808
Biden,9/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,250
Harris,9/6/2024 12:00:00 AM,$0.53,$0.55,$0.53,$0.55,27932
Buttigieg,9/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,9/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2983
Ramaswamy,9/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,9/6/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3446
DeSantis,9/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,9/7/2024 12:00:00 AM,$0.50,$0.50,$0.48,$0.50,21164
Biden,9/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,50
Harris,9/7/2024 12:00:00 AM,$0.55,$0.55,$0.53,$0.54,10743
Buttigieg,9/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,9/7/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1538
Ramaswamy,9/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,50
Haley,9/7/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,799
DeSantis,9/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,9/8/2024 12:00:00 AM,$0.50,$0.50,$0.49,$0.50,24247
Biden,9/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2334
Harris,9/8/2024 12:00:00 AM,$0.54,$0.55,$0.52,$0.52,31778
Buttigieg,9/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,9
Newsom,9/8/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3065
Ramaswamy,9/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,9/8/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1864
DeSantis,9/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,9/9/2024 12:00:00 AM,$0.50,$0.53,$0.50,$0.52,60178
Biden,9/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,15281
Harris,9/9/2024 12:00:00 AM,$0.52,$0.54,$0.50,$0.53,54171
Buttigieg,9/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,9/9/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,6092
Ramaswamy,9/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,400
Haley,9/9/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,4930
DeSantis,9/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Trump,9/10/2024 12:00:00 AM,$0.52,$0.52,$0.46,$0.47,164310
Biden,9/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3191
Harris,9/10/2024 12:00:00 AM,$0.53,$0.57,$0.52,$0.57,143358
Buttigieg,9/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Newsom,9/10/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,5422
Ramaswamy,9/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,172
Haley,9/10/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,9489
DeSantis,9/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,9/11/2024 12:00:00 AM,$0.47,$0.48,$0.46,$0.47,50106
Biden,9/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1184
Harris,9/11/2024 12:00:00 AM,$0.57,$0.57,$0.55,$0.56,54916
Buttigieg,9/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,9/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ramaswamy,9/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2511
Haley,9/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,51
DeSantis,9/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,9/12/2024 12:00:00 AM,$0.47,$0.48,$0.46,$0.47,35627
Biden,9/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1035
Harris,9/12/2024 12:00:00 AM,$0.56,$0.57,$0.55,$0.56,39023
Buttigieg,9/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,9/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,929
Ramaswamy,9/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,902
Haley,9/12/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,554
DeSantis,9/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,10
Trump,9/13/2024 12:00:00 AM,$0.47,$0.47,$0.46,$0.47,16475
Biden,9/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,9/13/2024 12:00:00 AM,$0.56,$0.58,$0.56,$0.57,31370
Buttigieg,9/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,9/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ramaswamy,9/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,9/13/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,200
DeSantis,9/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1128
Trump,9/14/2024 12:00:00 AM,$0.47,$0.47,$0.46,$0.47,12967
Biden,9/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,740
Harris,9/14/2024 12:00:00 AM,$0.57,$0.57,$0.56,$0.57,13704
Buttigieg,9/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1000
Newsom,9/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1000
Ramaswamy,9/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,9/14/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,102
DeSantis,9/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,219
Trump,9/15/2024 12:00:00 AM,$0.47,$0.47,$0.46,$0.47,26804
Biden,9/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
Harris,9/15/2024 12:00:00 AM,$0.57,$0.57,$0.56,$0.56,23036
Buttigieg,9/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,26
Newsom,9/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Ramaswamy,9/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3
Haley,9/15/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,135
DeSantis,9/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,860
Trump,9/16/2024 12:00:00 AM,$0.47,$0.48,$0.46,$0.46,34432
Biden,9/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1566
Harris,9/16/2024 12:00:00 AM,$0.56,$0.58,$0.56,$0.58,26286
Buttigieg,9/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,48
Newsom,9/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,911
Ramaswamy,9/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,900
Haley,9/16/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,920
DeSantis,9/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4
Trump,9/17/2024 12:00:00 AM,$0.46,$0.47,$0.45,$0.46,25755
Biden,9/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,9/17/2024 12:00:00 AM,$0.58,$0.58,$0.56,$0.58,18357
Buttigieg,9/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,9/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5034
Ramaswamy,9/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Haley,9/17/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,13
DeSantis,9/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,9/18/2024 12:00:00 AM,$0.46,$0.47,$0.45,$0.45,20390
Biden,9/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Harris,9/18/2024 12:00:00 AM,$0.58,$0.58,$0.56,$0.58,20222
Buttigieg,9/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,9/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ramaswamy,9/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,9/18/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,21
DeSantis,9/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,18
Trump,9/19/2024 12:00:00 AM,$0.45,$0.46,$0.45,$0.45,26427
Biden,9/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,500
Harris,9/19/2024 12:00:00 AM,$0.58,$0.58,$0.57,$0.58,28261
Buttigieg,9/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,9/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,921
Ramaswamy,9/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,884
Haley,9/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
DeSantis,9/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1524
Trump,9/20/2024 12:00:00 AM,$0.45,$0.46,$0.45,$0.45,15431
Biden,9/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,9/20/2024 12:00:00 AM,$0.58,$0.58,$0.57,$0.58,23819
Buttigieg,9/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,9/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,851
Ramaswamy,9/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,851
Haley,9/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,851
DeSantis,9/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,9/21/2024 12:00:00 AM,$0.45,$0.46,$0.45,$0.46,12475
Biden,9/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,9/21/2024 12:00:00 AM,$0.58,$0.58,$0.57,$0.58,10331
Buttigieg,9/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,9/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ramaswamy,9/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,9/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
DeSantis,9/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Trump,9/22/2024 12:00:00 AM,$0.46,$0.46,$0.45,$0.46,10574
Biden,9/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,161
Harris,9/22/2024 12:00:00 AM,$0.58,$0.58,$0.57,$0.57,10958
Buttigieg,9/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,9/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ramaswamy,9/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,9/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,9/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,9/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
